"Main.group" "Scientific.Name" "Common.name" "Conservation.action.needed" "Avoid.negative.impacts"
"257" "Terrestrial invertebrates" "Mniotype adusta" "Dark Brocade" "-" "-"
"258" "Terrestrial invertebrates" "Brachylomia viminalis" "Minor Shoulder-knot" "-" "-"
"259" "Terrestrial invertebrates" "Callisto coffeella" "Highland Slender" "-" "-"
"260" "Terrestrial invertebrates" "Caradrina morpheus" "Mottled Rustic" "-" "-"
"261" "Terrestrial invertebrates" "Celaena haworthii" "Haworth's Minor" "-" "-"
"262" "Terrestrial invertebrates" "Helotropha leucostigma" "Crescent" "-" "-"
"263" "Terrestrial invertebrates" "Chesias legatella" "Streak" "-" "-"
"264" "Terrestrial invertebrates" "Chesias rufata" "Broom-tip" "-" "-"
"265" "Terrestrial invertebrates" "Chiasmia clathrata" "Latticed Heath" "-" "-"
"266" "Terrestrial invertebrates" "Cossus cossus" "Goat Moth" "Yes" "-"
"267" "Terrestrial invertebrates" "Cymatophorina diluta" "Oak Lutestring" "-" "-"
"268" "Terrestrial invertebrates" "Dasypolia templi" "Brindled Ochre" "-" "-"
"269" "Terrestrial invertebrates" "Diarsia rubi" "Small Square-spot" "-" "-"
"270" "Terrestrial invertebrates" "Diloba caeruleocephala" "Figure of Eight" "-" "-"
"271" "Terrestrial invertebrates" "Ecliptopera silaceata" "Small Phoenix" "-" "-"
"272" "Terrestrial invertebrates" "Endromis versicolora" "Kentish Glory" "-" "-"
"273" "Terrestrial invertebrates" "Ennomos erosaria" "September Thorn" "-" "-"
"274" "Terrestrial invertebrates" "Ennomos quercinaria" "August Thorn" "-" "-"
"275" "Terrestrial invertebrates" "Entephria caesiata" "Grey Mountain Carpet" "-" "-"
"276" "Terrestrial invertebrates" "Epione vespertaria" "Dark Bordered Beauty" "Yes" "-"
"277" "Terrestrial invertebrates" "Epirrhoe galiata" "Galium Carpet" "-" "-"
"278" "Terrestrial invertebrates" "Eugnorisma glareosa" "Autumnal Rustic" "-" "-"
"279" "Terrestrial invertebrates" "Eulithis mellinata" "Spinach" "-" "-"
