Species Name;Taxon Concept;Taxon Rank;Kingdom;Phylum;Class;Order;Family;Genus;Vernacular Name;Number of records
Geranium robertianum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Geraniales;Geraniaceae;Geranium;Geranium robertianum;2
Geum rivale;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Geum;Geum rivale;4
Gnaphalium uliginosum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Gnaphalium;Gnaphalium uliginosum;1
Gymnadenia conopsea agg.;;SPECIES_AGGREGATE;Plantae;Tracheophyta;Magnoliopsida;Asparagales;Orchidaceae;Gymnadenia;;1
Gymnocarpium dryopteris;(L.) Newman;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Cystopteridaceae;Gymnocarpium;Gymnocarpium dryopteris;1
Gyrinus minutus;Fabricius, 1798;SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Gyrinidae;Gyrinus;Gyrinus minutus;1
Gyrinus substriatus;Stephens, 1828;SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Gyrinidae;Gyrinus;Gyrinus substriatus;2
Haematopus ostralegus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Charadriiformes;Charadriidae;Haematopus;Haematopus ostralegus;2
Hedera helix;;SPECIES_SENSU_LATO;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Hedera;;2
Heracleum sphondylium;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Heracleum;Heracleum sphondylium;3
Hieracium sect. Vulgata;(Griseb.) Willk. & Lange;SECTION;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium;;1
Hieracium;L.;GENUS;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium;;2
Hirundo rustica;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Hirundinidae;Hirundo;Hirundo rustica;1
Holcus lanatus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Holcus;Holcus lanatus;8
Holcus mollis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Holcus;Holcus mollis;4
Huperzia selago;(L.) Bernh. ex Schrank & Mart.;SPECIES;Plantae;Tracheophyta;Lycopodiopsida;Lycopodiales;Lycopodiaceae;Huperzia;Huperzia selago;1
Hyacinthoides non-scripta;(L.) Chouard ex Rothm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asparagales;Asparagaceae;Hyacinthoides;Hyacinthoides non-scripta;4
Hydrobius fuscipes/rottenbergii/subrotundus;;SPECIES_AGGREGATE;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Hydrobius;;1
Hydrocotyle vulgaris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Hydrocotyle;Hydrocotyle vulgaris;6
Hydroporus gyllenhalii;SchiÃ¸dte, 1841;SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroporus;Hydroporus gyllenhalii;1
Hydroporus obscurus;Sturm, 1835;SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroporus;Hydroporus obscurus;2
Hydroporus tristis;(Paykull, 1798);SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroporus;Hydroporus tristis;1
Hymenophyllum wilsonii;Hook.;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Hymenophyllales;Hymenophyllaceae;Hymenophyllum;Hymenophyllum wilsonii;1
Hypericum androsaemum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;Hypericum androsaemum;2
Hypericum elodes;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;Hypericum elodes;5
Hypericum pulchrum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;Hypericum pulchrum;4
Hypericum tetrapterum;Fr.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;Hypericum tetrapterum;2
Hyperphyscia adglutinata;(FlÃ¶rke) H. Mayrhofer & Poelt;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Physciaceae;Hyperphyscia;Hyperphyscia adglutinata;1
Hypochaeris radicata;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hypochaeris;Hypochaeris radicata;5
Hypogymnia physodes;(L.) Nyl.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypogymnia;Hypogymnia physodes;1
Hypogymnia tubulosa;(Schaer.) Hav.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypogymnia;Hypogymnia tubulosa;1
Ilybius aenescens;Thomson, C.G., 1870;SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Ilybius;Ilybius aenescens;1
Ilybius fuliginosus;(Fabricius, 1792);SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Ilybius;Ilybius fuliginosus;1
Immersaria athroocarpa;(Ach.) Rambold & Pietschm.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecideales;Lecideaceae;Immersaria;Immersaria athroocarpa;1
Iris pseudacorus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asparagales;Iridaceae;Iris;Iris pseudacorus;4
Ischnura elegans;(Vander Linden, 1820);SPECIES;Animalia;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;Ischnura elegans;2
Jacobaea;Mill.;GENUS;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Jacobaea;;8
Juncus acutiflorus;Ehrh. ex Hoffm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus acutiflorus;7
Juncus articulatus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus articulatus;1
Juncus bulbosus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus bulbosus;8
Juncus conglomeratus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus conglomeratus;7
Juncus effusus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus effusus;8
Juncus squarrosus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus squarrosus;6
Juniperus communis subsp. nana;(Hook.) Syme;SUBSPECIES;Plantae;Tracheophyta;Pinopsida;Pinales;Cupressaceae;Juniperus;Juniperus communis;1
Lagopus lagopus;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Lagopus;Lagopus lagopus;1
Larus argentatus;Pontoppidan, 1763;SPECIES;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;Larus argentatus;2
Larus fuscus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;Larus fuscus;1
Lathyrus linifolius;(Reichard) BÃ¤ssler;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Lathyrus;Lathyrus linifolius;1
Lecanora chlarotera;Nyl.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;Lecanora chlarotera;1
Lecanora conizaeoides f. conizaeoides;Nyl. ex Cromb.;FORM;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;Lecanora conizaeoides;1
Lecanora expallens;Ach.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;Lecanora expallens;1
Lecanora polytropa;(Hoffm.) Rabenh.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;Lecanora polytropa;1
Lecanora symmicta;(Ach.) Ach.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;Lecanora symmicta;1
Lecidella elaeochroma f. elaeochroma;(Ach. ) M. Choisy;FORM;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecidella;Lecidella elaeochroma;1
Lepra corallina;(L.) Hafellner;SPECIES;Fungi;Ascomycota;;;;Lepra;Lepra corallina;1
Lestes sponsa;(Hansemann, 1823);SPECIES;Animalia;Arthropoda;Insecta;Odonata;Lestidae;Lestes;Lestes sponsa;1
Libellula quadrimaculata;Linnaeus, 1758;SPECIES;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Libellula;Libellula quadrimaculata;3
Linum catharticum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Linaceae;Linum;Linum catharticum;2
Lolium perenne;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Lolium;Lolium perenne;2
Lonicera periclymenum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Lonicera;Lonicera periclymenum;6
Lotus corniculatus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Lotus;Lotus corniculatus;3
Lotus pedunculatus;Cav.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Lotus;Lotus pedunculatus;6
Luzula campestris;(L.) DC.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Luzula;Luzula campestris;6
Luzula multiflora subsp. congesta;(Thuill.) Arcang.;SUBSPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Luzula;Luzula multiflora;1
Luzula multiflora;(Ehrh.) Lej.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Luzula;Luzula multiflora;7
Luzula pilosa;(L.) Willd.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Luzula;Luzula pilosa;2
Luzula sylvatica;(Huds.) Gaudin;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Juncaceae;Luzula;Luzula sylvatica;3
Lysimachia nemorum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Lysimachia;Lysimachia nemorum;4
Lysimachia;L.;GENUS;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Lysimachia;;1
Maniola jurtina;(Linnaeus, 1758);SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Maniola;Maniola jurtina;2
Melanelixia fuliginosa;(Fr. ex Duby) O. Blanco et al.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Melanelixia;Melanelixia fuliginosa;1
Melanelixia subaurifera;(Nyl.) O. Blanco et al.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Melanelixia;Melanelixia subaurifera;1
Melanohalea exasperata;(De Not.) O. Blanco et al.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Melanohalea;Melanohalea exasperata;1
Mentha aquatica;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Mentha;Mentha aquatica;4
Menyanthes trifoliata;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Menyanthaceae;Menyanthes;Menyanthes trifoliata;6
Mercurialis perennis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Mercurialis;Mercurialis perennis;4
Micarea botryoides;(Nyl.) Coppins;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Pilocarpaceae;Micarea;Micarea botryoides;1
Micarea leprosula;(Th. Fr.) Coppins & A. Fletcher;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Pilocarpaceae;Micarea;Micarea leprosula;1
Micarea lignaria var. lignaria;(Ach.) Hedl.;VARIETY;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Pilocarpaceae;Micarea;Micarea lignaria;1
Micarea nitschkeana;(J. Lahm ex Rabenh.) Harm.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Pilocarpaceae;Micarea;Micarea nitschkeana;1
Molinia caerulea;(L.) Moench;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Molinia;Molinia caerulea;8
Molophilus occultus;de Meijere, 1918;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Limoniidae;Molophilus;Molophilus occultus;1
Montia fontana;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Montiaceae;Montia;Montia fontana;2
Motacilla alba yarrellii;Gould, 1837;SUBSPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Motacilla;Motacilla alba;2
Motacilla cinerea;Tunstall, 1771;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Motacilla;Motacilla cinerea;2
Myosotis secunda;Al. Murray;SPECIES;Plantae;Tracheophyta;Magnoliopsida;;Boraginaceae;Myosotis;Myosotis secunda;6
Myotis nattereri;(Kuhl, 1817);SPECIES;Animalia;Chordata;Mammalia;Chiroptera;Vespertilionidae;Myotis;Myotis nattereri;1
Myrica gale;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fagales;Myricaceae;Myrica;Myrica gale;6
Naevia punctiformis;(Ach.) A. Massal.;SPECIES;Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Arthoniaceae;;Naevia punctiformis;1
Nardus stricta;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Nardus;Nardus stricta;7
